author,category,Year of publishing,grade,institution,isbn,lang,link,pages,pages_displayed,price,char_len_ref,subject,tags,text_len,title
Philipp Wurm (Autor:in),Seminararbeit,2001,"1,7",Universität zu Köln,9783640055548,de,https://www.hausarbeiten.de/document/107281,16,16 von 16 Seiten X- nach oben,Kostenlos,855,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Liebeskonzeption Hartmann Aues Iwein Verhältnis Wirklichkeit ,24624,Liebeskonzeption in Hartmann von Aues Iwein und ihr Verhältnis zur Wirklichkeit
Miriam Oberle (Autor:in),Seminararbeit,2002,1.5,Universität Mannheim,9783640055227,de,https://www.hausarbeiten.de/document/107248,17,2 von 17 Seiten X- nach oben,Kostenlos,1097,Germanistik - Neuere Deutsche Literatur, Peter Schneider Lenz Diskrepanz Theorie Sehnsucht Sinnlichkeit Authentizität Italien Therapie Linke Italienbilder Literatur Nachkriegszeit ,29502,"Peter Schneider - Lenz: Die Diskrepanz zwischen linker Theorie und der Sehnsucht nach mehr Sinnlichkeit und Authentizität - oder Italien als Therapie für verdrossene Linke?"""
Michael Schmidt (Autor:in),Hausarbeit,2002,"2,0",Humboldt-Universität zu Berlin,9783640055241,de,https://www.hausarbeiten.de/document/107250,15,15 von 15 Seiten X- nach oben,Kostenlos,3965,Germanistik - Gattungen, Funktions- Organisationsprinzipien Gattungen ,24360,Funktions- und Organisationsprinzipien literarischer Gattungen
Argyros Ioannis Evaggelia Demertzi (Autor:in),Seminararbeit,2002,1,none,9783640055258,de,https://www.hausarbeiten.de/document/107251,20,20 von 20 Seiten X- nach oben,Kostenlos,1576,Germanistik - Linguistik, Partikeln Deutschen Grammatik Texten ,28783,Partikeln des Deutschen
Albrecht Trübenbacher (Autor:in),Hausarbeit (Hauptseminar),1996,1,Ernst-Moritz-Arndt-Universität Greifswald,9783640054756,de,https://www.hausarbeiten.de/document/107201,23,23 von 23 Seiten X- nach oben,Kostenlos,7231,Germanistik - Neuere Deutsche Literatur, Utopie Utopieverlust Heiner Müller Schwund Idee Thema ,54167,Utopie und Utopieverlust bei Heiner Müller - Schwund von Idee und Thema?
Maren Löhring (Autor:in),Hausarbeit,2002,none,Westfälische Wilhelms-Universität Münster,9783640054763,de,https://www.hausarbeiten.de/document/107202,21,21 von 21 Seiten X- nach oben,Kostenlos,1640,Germanistik - Neuere Deutsche Literatur, Schillers Jungfrau Orleans* Brechts Heilige Johanna Schlachthöfe* Vergleich Geschichtsdramen ,43296,Schillers *Die Jungfrau von Orleans* und Brechts *Die Heilige Johanna der Schlachthöfe* - Ein Vergleich.
Susanne Rittig (Autor:in),Seminararbeit,2002,1-,Justus-Liebig-Universität Gießen,9783640054596,de,https://www.hausarbeiten.de/document/107185,10,10 von 10 Seiten X- nach oben,Kostenlos,399,Germanistik - Neuere Deutsche Literatur, Andreas Gryphius Einführungsseminar Literaturwissenschaft ,13763,Andreas Gryphius - An sich selbst
Susanne Rittig (Autor:in),Seminararbeit,2002,1-,Justus-Liebig-Universität Gießen,9783640054602,de,https://www.hausarbeiten.de/document/107186,11,11 von 11 Seiten X- nach oben,Kostenlos,185,Germanistik - Linguistik, Grundstrukturen Nominalphrase Basisseminar Grammatik ,15947,Grundstrukturen der Nominalphrase
Patrick Fonger (Autor:in),Seminararbeit,1998,2,Rheinisch-Westfälische Technische Hochschule Aachen,9783640054060,de,https://www.hausarbeiten.de/document/107131,19,19 von 19 Seiten X- nach oben,Kostenlos,746,Germanistik - Neuere Deutsche Literatur, Elias Canetti Blendung Betrachtung Büchern Möbeln Geld Perspektive Masseverständnisses PHauptseminar Elias Canetti Blendung ,34729,"Elias Canetti - Die Blendung. Betrachtung von Büchern, Möbeln und Geld aus der Perspektive eines Masseverständnisses"
Patrick Fonger (Autor:in),Seminararbeit,1997,1-,Rheinisch-Westfälische Technische Hochschule Aachen,9783640054077,de,https://www.hausarbeiten.de/document/107132,18,18 von 18 Seiten X- nach oben,Kostenlos,768,Germanistik - Neuere Deutsche Literatur, Essen Macht Betrachtungen Gottfried Kellers Novelle Schmoller- Proseminar Gottfried Keller Leute Seldwyla ,28481,"Essen und Macht. Betrachtungen in Gottfried Kellers Novelle Pankraz, der Schmoller"
Fabian Lorenzen (Autor:in),Seminararbeit,2001,"2,25",Ruprecht-Karls-Universität Heidelberg,9783640053414,de,https://www.hausarbeiten.de/document/107066,25,25 von 25 Seiten X- nach oben,Kostenlos,514,Germanistik - Neuere Deutsche Literatur, Verwandlungen Liebe Faust Goethes Faust Tragödie Teil Proseminar Urfaustdichtungen ,52557,Die Verwandlungen der Liebe bei Faust in Goethes 'Faust - Der Tragödie erster Teil'
Christiane Wöstefeld (Autor:in),Seminararbeit,2002,none,Heinrich-Heine-Universität Düsseldorf,9783640053438,de,https://www.hausarbeiten.de/document/107068,13,12 von 13 Seiten X- nach oben,Kostenlos,1321,Germanistik - Neuere Deutsche Literatur, Gesellschaftskritik Emilia Galotti Beispiel Adels Thematisches Proseminar ,20044,Die Gesellschaftskritik in Emilia Galotti bearbeitet am Beispiel des Adels
Martina Quade (Autor:in),Hausarbeit,1999,1,Heinrich-Heine-Universität Düsseldorf,9783640053445,de,https://www.hausarbeiten.de/document/107069,13,13 von 13 Seiten X- nach oben,Kostenlos,751,Germanistik - Neuere Deutsche Literatur, Todeserkenntnis Vieldeutigkeit Kafkas Roman Prozeß Kafkas Romane Erzaehlungen ,25087,Die Todeserkenntnis und Vieldeutigkeit in Kafkas Roman Der Prozeß
Alexandra Palme (Autor:in),Seminararbeit,2001,2,Rheinische Friedrich-Wilhelms-Universität Bonn,9783640053452,de,https://www.hausarbeiten.de/document/107070,17,16 von 17 Seiten X- nach oben,Kostenlos,1965,"Germanistik - Komparatistik, Vergleichende Literaturwissenschaft", Identität Identifikation Rollenzuweisung Shoah-Lyrik Shoah Lyrik ,41679,"Ich, wir, sie - Identität, Identifikation und Rollenzuweisung in der Shoah-Lyrik"
Cornelia Willberg (Autor:in),Seminararbeit,2000,2,Otto-von-Guericke-Universität Magdeburg,9783640053278,de,https://www.hausarbeiten.de/document/107052,16,16 von 16 Seiten X- nach oben,Kostenlos,359,Germanistik - Linguistik, Familiennamen Sprachgeschichte ,34561,Entstehung und Bildung von Familiennamen
Nadine Kinne (Autor:in),Hausarbeit,2001,"1,7",Johannes Gutenberg-Universität Mainz,9783640053285,de,https://www.hausarbeiten.de/document/107053,20,19 von 20 Seiten X- nach oben,Kostenlos,1705,Germanistik - Neuere Deutsche Literatur, Cervantes-Bezüge Hoffmanns Nachricht Neusten Schicksalen Hundes Berganza Gemeinsamkeiten Unterschiede Cervantes Literatur ,31127,Cervantes-Bezüge in E.T.A. Hoffmanns Nachricht von den Neusten Schicksalen des Hundes Berganza: Gemeinsamkeiten - Ähnlichkeiten - Unterschiede
Jana Beisker (Autor:in),Seminararbeit,2002,none,none,9783640053056,de,https://www.hausarbeiten.de/document/107030,34,34 von 34 Seiten X- nach oben,Kostenlos,4049,Germanistik - Neuere Deutsche Literatur, Buch Timur Goethes West-östlichen Divan ,75746,Das Buch Timur in Goethes West-östlichen Divan
Dorothee Niemann (Autor:in),Hausarbeit (Hauptseminar),2002,Gut,Westfälische Wilhelms-Universität Münster,9783640052820,de,https://www.hausarbeiten.de/document/107007,12,12 von 12 Seiten X- nach oben,Kostenlos,886,Germanistik - Neuere Deutsche Literatur, Fontane Theodor Stechlin Raum- Dingsymbolik Theodor Fontanes Roman Theodor Fontane Erzählprosa ,36003,"Fontane, Theodor - Der Stechlin - Raum- und Dingsymbolik in Theodor Fontanes Roman"
Stefan Weber (Autor:in),Hausarbeit (Hauptseminar),1998,+2,Universität Regensburg,9783640052233,de,https://www.hausarbeiten.de/document/106948,21,21 von 21 Seiten X- nach oben,Kostenlos,2815,Germanistik - Neuere Deutsche Literatur, Freytag Gustav Soll Haben Wirtschaft Gesellschaft Hauptseminar ,47635,"Freytag, Gustav - Soll und Haben - Wirtschaft und Gesellschaft"
Stefan Weber (Autor:in),Seminararbeit,1996,+2,Universität Regensburg,9783640052240,de,https://www.hausarbeiten.de/document/106949,19,19 von 19 Seiten X- nach oben,Kostenlos,1784,Germanistik - Neuere Deutsche Literatur, Kind Spiegel Dichtung Schlegels Lucinde Proseminar ,38049,Das Kind als Spiegel der Dichtung in Schlegels Lucinde
Nina Leibeling (Autor:in),Seminararbeit,2002,2-,Universität zu Köln,9783640052288,de,https://www.hausarbeiten.de/document/106953,13,13 von 13 Seiten X- nach oben,Kostenlos,1110,Germanistik - Linguistik, Stellenwert Schrift Gesellschaft Einführung Sprachwissenschaft ,30548,Der Stellenwert von Schrift in der Gesellschaft
Stuart Gregory (Autor:in),Hausarbeit (Hauptseminar),2001,"1,5",Albert-Ludwigs-Universität Freiburg,9783640052301,de,https://www.hausarbeiten.de/document/106955,20,19 von 20 Seiten X- nach oben,Kostenlos,1448,Germanistik - Neuere Deutsche Literatur, Ilmenau September Darstellung Goethes Verhältnis Natur Herzog Carl August Sachsen Weimar Goethe Ausgewählte Gedichte ,30448,"Ilmenau, am 3. September 1783: Die Darstellung von Goethes Verhältnis zur Natur und dem Herzog Carl August von Sachsen Weimar"
Norbert Krause (Autor:in),Hausarbeit,2001,"1,0",Friedrich-Schiller-Universität Jena,9783640052325,de,https://www.hausarbeiten.de/document/106957,14,13 von 14 Seiten X- nach oben,Kostenlos,678,Germanistik - Neuere Deutsche Literatur, Hermann Hesse Morgenlandfahrt Einführung Literaturwissenschaft ,31110,Hermann Hesse - Die Morgenlandfahrt
Norbert Krause (Autor:in),Hausarbeit,2001,"1,7",Friedrich-Schiller-Universität Jena,9783640052332,de,https://www.hausarbeiten.de/document/106958,15,15 von 15 Seiten X- nach oben,Kostenlos,375,Germanistik - Neuere Deutsche Literatur, Rainer Maria Rilke Sonett Orpheus Gedichte Kunst Dichtung ,34414,Rainer Maria Rilke - Das dritte Sonett an Orpheus
Nils Wenzel (Autor:in),Hausarbeit (Hauptseminar),2001,1 - 2,Christian-Albrechts-Universität Kiel,9783640051656,de,https://www.hausarbeiten.de/document/106890,28,28 von 28 Seiten X- nach oben,Kostenlos,859,Germanistik - Neuere Deutsche Literatur, Schnitzler Arthur Fräulein Else Fokalisierung Wahrnehmungsstrukturen Psychologie Räume Arthur Schnitzlers Fräulein Else Hauptseminar ,62599,"Schnitzler, Arthur - Fräulein Else - Fokalisierung und Wahrnehmungsstrukturen. Psychologie und semantische Räume in Arthur Schnitzlers Fräulein Else"
Anna-Maria Torchala (Autor:in),Seminararbeit,2002,none,Technische Universität Dresden,9783640051717,de,https://www.hausarbeiten.de/document/106896,17,17 von 17 Seiten X- nach oben,Kostenlos,1116,Germanistik - Neuere Deutsche Literatur, Rolle Freundes Hasenclevers Drama Sohn ,24958,Die Rolle des Freundes in Hasenclevers Drama: Der Sohn
Michael Mann (Autor:in),Seminararbeit,2002,1,Friedrich-Alexander-Universität Erlangen-Nürnberg,9783640051731,de,https://www.hausarbeiten.de/document/106898,15,15 von 15 Seiten X- nach oben,Kostenlos,4349,Germanistik - Linguistik, Sprachpurismus Wilhelminischen Reich Allgemeine Deutsche Sprachverein Sprachpurismus ,28205,Sprachpurismus im Wilhelminischen Reich: Der Allgemeine Deutsche Sprachverein
Maximilian May (Autor:in),Seminararbeit,2002,none,Ludwig-Maximilians-Universität München,9783640051748,de,https://www.hausarbeiten.de/document/106899,14,14 von 14 Seiten X- nach oben,Kostenlos,1191,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Vergleich Gralsthematik Umberto Ecos Baudolino Wolframs Eschenbachs Parzival Proseminar ,24885,Vergleich der Gralsthematik in Umberto Ecos Baudolino und Wolframs von Eschenbachs Parzival
Glauce Maia (Autor:in),Ausarbeitung,2000,none,Eberhard-Karls-Universität Tübingen,9783640050901,de,https://www.hausarbeiten.de/document/106815,8,7 von 8 Seiten X- nach oben,Kostenlos,781,Germanistik - Linguistik, Piaget Chomsky Skinner Psycholinguistik Spracherwerb Sprache Linguistik ,25620,"Angeboren oder erlernt? Piaget, Chomsky, Skinner"
Raphael Meier (Autor:in),Seminararbeit,2001,"2,3",Universität Paderborn,9783640050918,de,https://www.hausarbeiten.de/document/106816,15,15 von 15 Seiten X- nach oben,Kostenlos,1105,Germanistik - Gattungen, Märchenstrukturen Vergleich Ansatz Vladimir Propps ,22242,Märchenstrukturen im Vergleich - der Ansatz Vladimir Propps
Glauce Maia (Autor:in),Hausarbeit (Hauptseminar),1999,2,Eberhard-Karls-Universität Tübingen,9783640050963,de,https://www.hausarbeiten.de/document/106821,21,21 von 21 Seiten X- nach oben,Kostenlos,1214,Germanistik - Sonstiges, Galileo Galilei Parapsychologie Geschichte Zensur Hauptseminar Zensur Tabu ,42229,Von Galileo Galilei bis zur Parapsychologie - die Geschichte der wissenschaftlichen Zensur
Christina Feind (Autor:in),Seminararbeit,2002,"1,3",Freie Universität Berlin,9783640049790,de,https://www.hausarbeiten.de/document/106704,25,24 von 25 Seiten X- nach oben,Kostenlos,788,Germanistik - Neuere Deutsche Literatur, Alfred Kerr Exil ,47615,Alfred Kerr im Exil
Claudia Strieter (Autor:in),Seminararbeit,1999,"1,7",Westfälische Wilhelms-Universität Münster,9783640049127,de,https://www.hausarbeiten.de/document/106633,25,24 von 25 Seiten X- nach oben,Kostenlos,1734,Germanistik - Neuere Deutsche Literatur, Goethe Johann Wolfgang Faust Horizont Kaiserhofs Zweiten Teil Faust Proseminar ,48637,"Goethe, Johann Wolfgang von - Faust - Der gesellschafts-geschichtliche Horizont des Kaiserhofs im Zweiten Teil von Faust"
Matthias Vorhauer (Autor:in),Hausarbeit (Hauptseminar),2002,1,Technische Universität Dresden,9783640049288,de,https://www.hausarbeiten.de/document/106649,22,21 von 22 Seiten X- nach oben,Kostenlos,2010,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Welt Gegenwelt Eine Untersuchung Konstruktion Anderswelt Späte Heldenepik ,43747,Welt und Gegenwelt - Eine Untersuchung zur Konstruktion der magischen Anderswelt im `Laurin`
Schweiger Sandra (Autor:in),Seminararbeit,2002,none,Universität Passau,9783640046393,de,https://www.hausarbeiten.de/document/106360,16,16 von 16 Seiten X- nach oben,Kostenlos,1495,Germanistik - Neuere Deutsche Literatur, Novalis Heinrich Ofterdingen Symbolik Blauen Blume Erzähltexte Romantik ,35165,Novalis - Heinrich von Ofterdingen - Die Symbolik der Blauen Blume
Alexandra Baas (Autor:in),Hausarbeit,2002,none,none,9783640046553,de,https://www.hausarbeiten.de/document/106376,10,10 von 10 Seiten X- nach oben,Kostenlos,1268,Germanistik - Neuere Deutsche Literatur, Vergleich Hauptfiguren Kurzgeschichten Aysel Saliha Scheinhardt ,15858,Vergleich zweier weiblicher Hauptfiguren in Kurzgeschichten von Aysel Özakin und Saliha Scheinhardt
Patrick Kleinschmidt (Autor:in),Seminararbeit,2000,none,Humboldt-Universität zu Berlin,9783640046560,de,https://www.hausarbeiten.de/document/106377,30,30 von 30 Seiten X- nach oben,Kostenlos,2689,Germanistik - Sonstiges, Schönheit Kunst Denken Platons Theorien Schönen Mittelalters ,56167,Schönheit und Kunst im Denken Platons
Sabine Klinnert (Autor:in),Seminararbeit,2001,"1,3",Universität Hamburg,9783640046577,de,https://www.hausarbeiten.de/document/106378,24,24 von 24 Seiten X- nach oben,Kostenlos,2751,Germanistik - Neuere Deutsche Literatur, Tagebuch Ausdruck Erlebnismustern Werk Frisch ,56243,Das Tagebuch als Ausdruck von Erlebnismustern im Werk von Max Frisch
Katrin Köpke (Autor:in),Hausarbeit,2001,1,Johann Wolfgang Goethe-Universität Frankfurt am Main,9783640047031,de,https://www.hausarbeiten.de/document/106424,38,38 von 38 Seiten X- nach oben,Kostenlos,2021,Germanistik - Linguistik, Lilienthal Otto Vogelflug Grundlage Fliegekunst Kommunikation Sprache Wilhelminischen Kaiserreich ,58051,"Lilienthal, Otto - Der Vogelflug als Grundlage der Fliegekunst"
Klaus Esterluß (Autor:in),Hausarbeit,2001,3,Universität Potsdam,9783640047192,de,https://www.hausarbeiten.de/document/106440,34,34 von 34 Seiten X- nach oben,Kostenlos,189,Germanistik - Gattungen, Werbesprache Werbemittel Einfluss Gestaltung Werbung Varietäten Textsorten ,55464,Werbesprache: Werbemittel und ihr Einfluss auf die Gestaltung von Werbung
Klaus Esterluß (Autor:in),Hausarbeit,2001,2,Universität Potsdam,9783640047208,de,https://www.hausarbeiten.de/document/106441,20,20 von 20 Seiten X- nach oben,Kostenlos,653,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Bild Narren Sebastian Brandts Narrenschiff Narren Mittelalter ,34821,Das Bild des Narren in Sebastian Brandts Narrenschiff
Sarah Lahl (Autor:in),Seminararbeit,2002,sehr gut,Universität Hamburg,9783640047215,de,https://www.hausarbeiten.de/document/106442,18,18 von 18 Seiten X- nach oben,Kostenlos,2318,Germanistik - Sonstiges, Produktanalyse Serie Beispiel Lindenstraße Seminar Grundlagen Fernsehens ,37673,"Produktanalyse Serie - Das Beispiel ""Lindenstraße"""
Veronika Harmathová (Autor:in),Seminararbeit,2000,none,none,9783640047222,de,https://www.hausarbeiten.de/document/106443,21,20 von 21 Seiten X- nach oben,Kostenlos,1334,Germanistik - Neuere Deutsche Literatur, Stifter Urzidil Erzählungen Böhmerwalde ,37183,A. Stifter und J. Urzidil und ihre Erzählungen aus dem Böhmerwalde
Kück Anja (Autor:in),Hausarbeit,1999,none,Freie Universität Berlin,9783640047239,de,https://www.hausarbeiten.de/document/106444,13,13 von 13 Seiten X- nach oben,Kostenlos,644,Germanistik - Linguistik, Sprachliche Entlehnungen Sprachwandel ,24439,Sprachliche Entlehnungen
Jana Becker (Autor:in),Hausarbeit,2002,none,Carl von Ossietzky Universität Oldenburg,9783640047260,de,https://www.hausarbeiten.de/document/106447,19,18 von 19 Seiten X- nach oben,Kostenlos,1620,Germanistik - Linguistik, Ferdinand Saussure Zeichen Grundlagen Linguistik Ferdinand Saussure Spiegel Zeitgeistes ,38139,Ferdinand de Saussure: Das sprachliche Zeichen
Jan Theuerl (Autor:in),Seminararbeit,2002,none,Friedrich-Schiller-Universität Jena,9783640047871,de,https://www.hausarbeiten.de/document/106508,16,16 von 16 Seiten X- nach oben,Kostenlos,622,Germanistik - Neuere Deutsche Literatur, Religion Verfalls Georg Trakls Verfall Verklärter Herbst Vergleich ,39308,Religion des Verfalls? Georg Trakls Verfall und Verklärter Herbst im Vergleich
Jana Beisker (Autor:in),Hausarbeit (Hauptseminar),2001,none,Universität Potsdam,9783640047888,de,https://www.hausarbeiten.de/document/106509,26,26 von 26 Seiten X- nach oben,Kostenlos,974,"Germanistik - Ältere Deutsche Literatur, Mediävistik", Wolfram Eschenbach Sine ,50629,Wolfram von Eschenbach: Sine klawen
Maciulis Gintaras (Autor:in),Hausarbeit,2002,9,none,9783640047895,de,https://www.hausarbeiten.de/document/106510,14,14 von 14 Seiten X- nach oben,Kostenlos,1226,"Germanistik - Literaturgeschichte, Epochen", Dichter Barocks ,31879,Dichter des Barocks
Frieder Wanner (Autor:in),Seminararbeit,2002,1,Technische Universität Carolo-Wilhelmina zu Braunschweig,9783640045945,de,https://www.hausarbeiten.de/document/106315,11,11 von 11 Seiten X- nach oben,Kostenlos,565,Germanistik - Neuere Deutsche Literatur, Nietzsches Spuren Thomas Manns Novelle Venedig ,20237,"Nietzsches Spuren in Thomas Manns Novelle ""Der Tod in Venedig"""
